"acao" "coeficiente_B" "sse" "volatilidade" "ano" "b_volatilidade"
"BBAS3.SA" 1.384 0.0697132542796606 0.795982687579944 2008 1.10164003961064
"BBAS3.SA" 1.142 0.162566978842167 0.86856024192398 2008 0.991895796277185
"BBAS3.SA" 0.975999999999999 0.114126265328488 0.980788670567193 2008 0.957249742473579
"BBAS3.SA" 0.866999999999999 0.128172837801131 1.07332903368305 2008 0.930576272203203
"BBAS3.SA" 1.239 0.107549966485078 0.74991805884215 2008 0.929148474905424
"BBAS3.SA" 1.804 0.0668527182322819 0.590608967663621 2008 1.06545857766517
"BBAS3.SA" 1.352 0.351071253751461 0.720123050039374 2008 0.973606363653234
"BBAS3.SA" 1.243 0.366017207680521 0.802458594501652 2008 0.997456032965554
"BBAS3.SA" 1.195 0.167626567392427 0.823150576690017 2008 0.98366493914457
"BBAS3.SA" 1.366 0.167339316247863 0.711362101683836 2008 0.97172063090012
"BBAS3.SA" 1.55 0.259556658671447 0.937298757264132 2008 1.4528130737594
"BBAS3.SA" 1.271 0.118732835954112 0.744837150483988 2008 0.946688018265149
"BBAS3.SA" 0.873999999999999 0.300198488759755 1.1744940634369 2008 1.02650781144385
"BBAS3.SA" 1.191 0.0934744534625056 0.82420031164955 2008 0.981622571174614
"BBAS3.SA" 1.056 0.0506324245630789 1.02888883316897 2008 1.08650660782643
"BBAS3.SA" 1.354 0.291966449386215 0.687227975304119 2008 0.930506678561777
"BBAS3.SA" 1.369 0.13321716803928 0.724682197056387 2008 0.992089927770194
"BBAS3.SA" 1.092 0.354868000760474 0.867147138484022 2008 0.946924675224552
"BBAS3.SA" 1.226 0.132791222283598 0.682046268506823 2008 0.836188725189365
"BBAS3.SA" 1.592 0.136472470935517 0.606502730268501 2008 0.965552346587454
"BBAS3.SA" 1.329 0.0422656038018237 0.772909191779832 2008 1.0271963158754
"BBAS3.SA" 2.038 0.125869350734841 0.454735891948552 2008 0.926751747791149
"BBAS3.SA" 1.785 0.0492869129404802 0.568711946933292 2008 1.01515082527593
"BBAS3.SA" 1.405 0.386677130433026 0.702933788860447 2008 0.987621973348928
"BBAS3.SA" 1.388 0.184316088024349 0.66230091850339 2008 0.919273674882705
"BBAS3.SA" 0.980999999999999 0.275277926030886 0.95626494869594 2008 0.938095914670716
"BBAS3.SA" 1.177 0.192421153313163 0.807804266894127 2008 0.950785622134388
"BBAS3.SA" 2.129 0.0405948406617555 0.500836447957555 2008 1.06628079770163
"BBAS3.SA" 1.764 0.291203339087129 0.653660141078016 2008 1.15305648886162
"BBAS3.SA" 1.4 0.0885088089524868 0.729392510303954 2008 1.02114951442554
"BBAS3.SA" 1.364 0.145725807203795 0.73703466771874 2008 1.00531528676836
"BBAS3.SA" 1.079 0.809108438201391 0.941645347816511 2008 1.01603533029402
"BBAS3.SA" 1.274 0.253733473582434 0.730919556074874 2008 0.93119151443939
"BBAS3.SA" 1.241 0.155694963262708 0.726563991580751 2008 0.901665913551712
"BBAS3.SA" 0.847999999999999 0.594102071663136 1.04565782871444 2008 0.886717838749844
"BBAS3.SA" 0.606 0.0598959282893842 1.42924698853815 2008 0.866123675054119
"BBAS3.SA" 0.876999999999999 0.402367830917002 1.11370330919136 2008 0.976717802160822
"BBAS3.SA" 0.547 0.367857154677901 1.52936759236531 2008 0.836564073023825
"BBAS3.SA" 0.511 0.154069782505498 1.91147079705994 2008 0.976761577297629
"BBAS3.SA" 0.171999999999999 0.0263286030137206 3.52710228495401 2008 0.606661593012086
"BBAS3.SA" 0.596 0.239531652602817 1.65360833941211 2008 0.985550570289617
"BBAS3.SA" 0.706 0.231609726192699 1.19539355063462 2008 0.843947846748042
"BBAS3.SA" 0.733999999999999 0.150793992768227 1.28121651810069 2008 0.940412924285905
"BBAS3.SA" 0.748999999999999 0.304914185648996 1.24775277727193 2008 0.934566830176674
"BBAS3.SA" 1.032 0.379556828290187 0.902488372268027 2008 0.931368000180604
"BBAS3.SA" 1.384 0.0697132542796606 0.795982687579944 2009 1.10164003961064
"BBAS3.SA" 1.142 0.162566978842167 0.86856024192398 2009 0.991895796277185
"BBAS3.SA" 0.975999999999999 0.114126265328488 0.980788670567193 2009 0.957249742473579
"BBAS3.SA" 0.866999999999999 0.128172837801131 1.07332903368305 2009 0.930576272203203
"BBAS3.SA" 1.239 0.107549966485078 0.74991805884215 2009 0.929148474905424
"BBAS3.SA" 1.804 0.0668527182322819 0.590608967663621 2009 1.06545857766517
"BBAS3.SA" 1.352 0.351071253751461 0.720123050039374 2009 0.973606363653234
"BBAS3.SA" 1.243 0.366017207680521 0.802458594501652 2009 0.997456032965554
"BBAS3.SA" 1.195 0.167626567392427 0.823150576690017 2009 0.98366493914457
"BBAS3.SA" 1.366 0.167339316247863 0.711362101683836 2009 0.97172063090012
"BBAS3.SA" 1.55 0.259556658671447 0.937298757264132 2009 1.4528130737594
"BBAS3.SA" 1.271 0.118732835954112 0.744837150483988 2009 0.946688018265149
"BBAS3.SA" 0.873999999999999 0.300198488759755 1.1744940634369 2009 1.02650781144385
"BBAS3.SA" 1.191 0.0934744534625056 0.82420031164955 2009 0.981622571174614
"BBAS3.SA" 1.056 0.0506324245630789 1.02888883316897 2009 1.08650660782643
"BBAS3.SA" 1.354 0.291966449386215 0.687227975304119 2009 0.930506678561777
"BBAS3.SA" 1.369 0.13321716803928 0.724682197056387 2009 0.992089927770194
"BBAS3.SA" 1.092 0.354868000760474 0.867147138484022 2009 0.946924675224552
"BBAS3.SA" 1.226 0.132791222283598 0.682046268506823 2009 0.836188725189365
