"setores" "faixa_temporal_por_setores" "coeficiente_B" "sse" "volatilidade" "tamanho_serie" "b_volatilidade"
"Bens Indls / Mat Transporte" "2008" 0.701 0.343651310210262 1.24514783346473 50 0.872848631258776
"Bens Indls / Mat Transporte" "2008" 0.384 0.111979240417849 2.10855122738503 50 0.809683671315852
"Bens Indls / Mat Transporte" "2008" 0.856999999999999 0.129710124853777 1.09545312403073 50 0.938803327294334
"Bens Indls / Mat Transporte" "2008" 0.939999999999999 0.13927834678578 1.18080174346664 50 1.10995363885864
"Bens Indls / Mat Transporte" "2008" 1.692 0.043498084344401 0.607847041147911 41 1.02847719362227
"Bens Indls / Mat Transporte" "2008" 2.144 0.047501310974724 0.465214667588804 35 0.997420247310396
"Bens Indls / Mat Transporte" "2008" 1.381 0.192646965846503 0.661252556673838 35 0.91318978076657
"Cons N Cíclico / Bebidas" "2008" 1.492 0.342744700161459 0.556769431301128 23 0.830699991501283
"Cons N Cíclico / Bebidas" "2008" 1.043 0.218888272576448 0.790198457083282 50 0.824176990737863
"Cons N Cíclico / Bebidas" "2008" 1.897 0.387789432550944 0.656873640748027 50 1.24608929649901
"Cons N Cíclico / Bebidas" "2008" 1.785 0.723451858081916 0.675060747602087 50 1.20498343446973
"Cons N Cíclico / Bebidas" "2008" 2.209 1.04491550716764 0.285187734660172 22 0.62997970586432
"Cons N Cíclico / Bebidas" "2008" 1.649 1.02256779161198 0.559758186315064 50 0.923041249233541
"Cons N Cíclico / Bebidas" "2008" 1.648 1.10285324867973 0.419795755850207 35 0.691823405641141
"Cons N Cíclico / Fumo" "2008" 0.702 0.340724979236327 1.18353069978088 50 0.830838551246178
"Cons N Cíclico / Fumo" "2008" 0.392 0.447724343294325 1.86667971707609 50 0.731738449093827
"Cons N Cíclico / Fumo" "2008" 0.844999999999999 0.480528494930979 1.04610719155048 50 0.883960576860155
"Cons N Cíclico / Fumo" "2008" 1.005 0.194252096480031 1.04009005534293 50 1.04529050561964
"Cons N Cíclico / Fumo" "2008" 1.133 0.372063309147715 0.724565851538861 37 0.82093310979353
"Cons N Cíclico / Fumo" "2008" 1.434 0.214604840999051 0.675398827845653 50 0.968521919130666
"Cons N Cíclico / Fumo" "2008" 0.969999999999999 0.397074761003144 1.12293690968771 50 1.08924880239708
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.818999999999999 0.265619464967752 1.09634641906373 50 0.897907717213194
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.348 0.243450187318549 1.94366951063466 50 0.676396989700862
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.544 0.0913431275260465 1.64166352721377 50 0.893064958804291
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.682 0.267163531854339 1.29510933115699 50 0.883264563849067
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.821999999999999 0.238284055347838 1.1304696750709 50 0.929246072908279
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.725999999999999 0.339250794113507 1.27620876120823 50 0.926527560637174
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.794999999999999 0.296934759341745 1.15038094292807 50 0.914552849627815
"Consumo Cíclico / Comércio" "2008" 0.931999999999999 0.254257476751236 0.995904824130008 50 0.928183296089166
"Consumo Cíclico / Comércio" "2008" 0.431999999999999 0.174490579795774 1.95261556782879 50 0.843529925302035
"Consumo Cíclico / Comércio" "2008" 0.754999999999999 0.187049119158308 1.45358018925769 50 1.09745304288955
"Consumo Cíclico / Comércio" "2008" 1.144 0.474620416597592 0.854345195587585 50 0.977370903752197
"Consumo Cíclico / Comércio" "2008" 1.22 0.313704547603431 0.763558386104932 38 0.931541231048017
"Consumo Cíclico / Comércio" "2008" 1.373 0.220032159588947 0.764775362071461 50 1.05003657212412
"Consumo Cíclico / Comércio" "2008" 1.2 0.0526465565604339 0.785055763213642 46 0.94206691585637
"Consumo Cíclico / Tecid Vest Calç" "2008" 0.723999999999999 0.0861652154265376 1.21410029645013 50 0.879008614629893
"Consumo Cíclico / Tecid Vest Calç" "2008" 0.405 0.0294999996465052 1.72960229249031 50 0.700488928458576
"Consumo Cíclico / Tecid Vest Calç" "2008" 0.904999999999999 0.0973295290047199 1.08350338390815 50 0.980570562436875
"Consumo Cíclico / Tecid Vest Calç" "2008" 1.371 0.0535212561168225 0.839443074110763 50 1.15087645460586
"Consumo Cíclico / Tecid Vest Calç" "2008" 1.445 0.230898884019981 0.677639292364826 50 0.979188777467174
"Consumo Cíclico / Tecid Vest Calç" "2008" 2.312 0.0381958828057905 0.445621105843994 40 1.03027599671131
"Consumo Cíclico / Tecid Vest Calç" "2008" 1.572 0.160530309224903 0.658195080210772 50 1.03468266609133
"Mats Básicos / Mineração" "2008" 0.901999999999999 0.0366063661274711 1.14971074468448 50 1.0370390917054
"Mats Básicos / Mineração" "2008" 0.534 0.0338361455890037 1.73507611148236 50 0.92653064353158
"Mats Básicos / Mineração" "2008" 0.628 0.0677900962444641 1.43718224381 50 0.90255044911268
"Mats Básicos / Mineração" "2008" 1.19 0.0957728959608501 0.842058187449922 50 1.00204924306541
"Mats Básicos / Mineração" "2008" 1.439 0.159068804545282 0.639207802466841 32 0.919820027749784
"Mats Básicos / Mineração" "2008" 1.784 0.0925339953094795 0.552997916117148 35 0.986548282352992
"Mats Básicos / Mineração" "2008" 1.33 0.0785828290056932 0.721417248708803 50 0.959484940782708
"Mats Básicos / Químicos" "2008" 1.318 0.256508199265544 0.692734084976267 48 0.91302352399872
"Mats Básicos / Químicos" "2008" 0.332 0.475661328294968 2.18368176382288 50 0.724982345589196
