"setores" "faixa_temporal_por_setores" "coeficiente_B" "sse" "volatilidade" "tamanho_serie" "b_volatilidade"
"Bens Indls / Mat Transporte" "2008" 0.663 0.032237807656158 1.40748848208678 50 0.933164863623535
"Cons N Cíclico / Bebidas" "2008" 1.455 0.23690950577683 0.669725569183631 50 0.974450703162183
"Cons N Cíclico / Fumo" "2008" 0.676 0.19009406769902 1.2841019159376 50 0.868052895173818
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.554 0.126412858099567 1.49419719701729 50 0.827785247147579
"Consumo Cíclico / Comércio" "2008" 0.736999999999999 0.0718540643480072 1.31411144420102 50 0.96850013437615
"Consumo Cíclico / Tecid Vest Calç" "2008" 0.727999999999999 0.0298976677066215 1.21666226173984 50 0.885730126546602
"Mats Básicos / Mineração" "2008" 0.737999999999999 0.0102650150732313 1.29100682185669 50 0.952763034530236
"Mats Básicos / Químicos" "2008" 0.776999999999999 0.0699819235104367 1.23498621322282 50 0.95958428767413
"Mats Básicos / Sid Metalurgia" "2008" 0.765999999999999 0.0261200195129804 1.20370934815583 50 0.922041360687365
"Petróleo, Gás e Biocombustíveis" "2008" 0.661 0.0166955035888174 1.39741197278097 50 0.923689314008221
"Telecomunicação / Telefonia Fixa" "2008" 0.647 0.0213674261102403 1.40672207897158 50 0.910149185094612
"Telecomunicação / Telefonia Móvel" "2008" 0.785999999999999 0.0464515209790092 1.21337447280075 50 0.953712335621388
"Utilidade Públ / Água Saneamento" "2008" 0.683 0.0685261041879121 1.37983017066487 50 0.942424006564106
"Bens Indls / Mat Transporte" "2009" 1.367 0.109981204446637 0.713335293217205 50 0.975129345827919
"Bens Indls / Mat Transporte" "2009" 0.69 0.141011229038294 1.35830959251496 50 0.937233618835322
"Cons N Cíclico / Bebidas" "2009" 1.425 0.153205177287643 0.628588889175883 50 0.895739167075633
"Cons N Cíclico / Bebidas" "2009" 1.265 0.295312809570675 0.659246933890923 50 0.833947371372018
"Cons N Cíclico / Fumo" "2009" 1.142 0.150219922956318 0.847022706230907 50 0.967299930515696
"Cons N Cíclico / Fumo" "2009" 1.08 0.196010696657477 0.852582510153037 50 0.92078911096528
"Cons N Cíclico / Pr Pessoal Limp" "2009" 1.094 0.0273435789570233 0.866159043149893 50 0.947577993205983
"Cons N Cíclico / Pr Pessoal Limp" "2009" 0.64 0.157723574790293 1.37823586645 50 0.882070954528
"Consumo Cíclico / Comércio" "2009" 1.053 0.0242487941312231 0.89876849484395 50 0.946403225070679
"Consumo Cíclico / Comércio" "2009" 0.657 0.0492218582194156 1.35052797479009 50 0.887296879437089
"Consumo Cíclico / Tecid Vest Calç" "2009" 1.375 0.0151227592715084 0.692754444016038 50 0.952537360522052
"Consumo Cíclico / Tecid Vest Calç" "2009" 0.940999999999999 0.0426219590375043 0.953849741455349 50 0.897572606709482
"Mats Básicos / Mineração" "2009" 1.131 0.10694011130321 0.865033050170474 50 0.978352379742806
"Mats Básicos / Mineração" "2009" 0.672 0.0674438081239644 1.3753814270443 50 0.92425631897377
"Mats Básicos / Químicos" "2009" 0.825999999999999 0.0159014052506511 1.09833776298765 50 0.907226992227798
"Mats Básicos / Químicos" "2009" 0.583 0.139754666845031 1.39245205026463 50 0.811799545304279
"Mats Básicos / Sid Metalurgia" "2009" 0.967999999999999 0.0901577637528944 0.974457040969088 50 0.943274415658076
"Mats Básicos / Sid Metalurgia" "2009" 0.547 0.0800174413033513 1.50705189209099 50 0.824357384973772
"Petróleo, Gás e Biocombustíveis" "2009" 1.031 0.0771959660242256 0.873505268798111 50 0.900583932130852
"Petróleo, Gás e Biocombustíveis" "2009" 0.669 0.0230358506343228 1.3790562599673 50 0.922588637918124
"Telecomunicação / Telefonia Fixa" "2009" 0.765999999999999 0.0835680203350744 1.1914342847836 50 0.912638662144236
"Telecomunicação / Telefonia Fixa" "2009" 0.481 0.2420270880268 1.62735058907629 50 0.782755633345696
"Telecomunicação / Telefonia Móvel" "2009" 0.817999999999999 0.0637157885726802 1.07331349790629 50 0.877970441287344
"Telecomunicação / Telefonia Móvel" "2009" 0.588 0.166311428100891 1.35391666543856 50 0.796102999277873
"Utilidade Públ / Água Saneamento" "2009" 1.012 0.0385211784050463 0.861476284713399 50 0.87181400012996
"Utilidade Públ / Água Saneamento" "2009" 0.571 0.0354851695362243 1.428190762738 50 0.815496925523398
"Bens Indls / Mat Transporte" "2010" 1.015 0.082297540931782 1.02050261700267 50 1.03581015625771
"Bens Indls / Mat Transporte" "2010" 1.149 0.121686761759635 0.814570318147823 50 0.935941295551849
"Cons N Cíclico / Bebidas" "2010" 0.828999999999999 0.171257373154249 1.03299144733717 50 0.856349909842513
"Cons N Cíclico / Bebidas" "2010" 0.811999999999999 0.226883502935266 1.12905023888174 50 0.916788793971972
"Cons N Cíclico / Fumo" "2010" 0.898999999999999 0.209392725712091 1.00701144936416 50 0.905303292978379
"Cons N Cíclico / Fumo" "2010" 0.861999999999999 0.088022010720335 1.10012286450022 50 0.948305909199188
"Cons N Cíclico / Pr Pessoal Limp" "2010" 0.641 0.0536909929247445 1.28519696264936 50 0.82381125305824
"Cons N Cíclico / Pr Pessoal Limp" "2010" 0.696 0.123405782615196 1.28047055467752 50 0.891207506055554
"Consumo Cíclico / Comércio" "2010" 0.735999999999999 0.0414839944544418 1.21577949903668 50 0.894813711290995
"Consumo Cíclico / Comércio" "2010" 0.619 0.198135339226715 1.41869642638703 50 0.878173087933572
"Consumo Cíclico / Tecid Vest Calç" "2010" 3.72 0.0223055501879315 0.378287260021569 50 1.40722860728024
"Consumo Cíclico / Tecid Vest Calç" "2010" 3.963 0.0186900758524979 0.24098226955456 31 0.955012734244721
"Mats Básicos / Mineração" "2010" 1.014 0.0179106444801263 0.938386768022437 50 0.951524182774751
"Mats Básicos / Mineração" "2010" 0.758999999999999 0.0431218961420521 1.26733724685453 50 0.961908970362587
"Mats Básicos / Químicos" "2010" 1.257 0.0473400733591009 0.834647811417352 50 1.04915229895161
"Mats Básicos / Químicos" "2010" 1.442 0.0516149893110138 0.651595429626946 50 0.939600609522056
"Mats Básicos / Sid Metalurgia" "2010" 0.641 0.22320189850474 1.31136630994969 50 0.840585804677751
"Mats Básicos / Sid Metalurgia" "2010" 0.58 0.217022154382348 1.49835754889692 50 0.869047378360214
