"acao" "coeficiente_B" "sse" "volatilidade" "ano" "b_volatilidade"
"LAME4.SA" 1.727 0.246001548168088 0.532210510318618 2008 0.919127551320253
"LAME4.SA" 3.157 0.0334631538865529 0.335770420694487 2008 1.0600272181325
"LAME4.SA" 1.706 0.115638939500634 0.555450437168478 2008 0.947598445809423
"LAME4.SA" 1.855 0.0757057966572935 0.479804247519696 2008 0.890036879149036
"LAME4.SA" 1.83 0.136409730845852 0.542608357111648 2008 0.992973293514316
"LAME4.SA" 1.877 0.0449502210677835 0.514133911562776 2008 0.965029352003331
"LAME4.SA" 1.505 0.151983725278813 0.662807991835365 2008 0.997526027712224
"LAME4.SA" 1.948 0.129063525108276 0.548595087818686 2008 1.0686632310708
"LAME4.SA" 1.579 0.213855419325099 0.657749667595954 2008 1.03858672513401
"LAME4.SA" 1.807 0.0578827852223986 0.574285296020133 2008 1.03773352990838
"LAME4.SA" 1.661 0.20066926398343 0.50585480442068 2008 0.84022483014275
"LAME4.SA" 1.235 0.513318505357825 0.578485381540824 2008 0.714429446202918
"LAME4.SA" 1.295 0.178258271848247 0.824923147530237 2008 1.06827547605166
"LAME4.SA" 1.055 0.344034632697646 0.868331777423888 2008 0.916090025182202
"LAME4.SA" 1.196 0.200477151103216 0.903457973511555 2008 1.08053573631982
"LAME4.SA" 1.26 0.201759689400526 0.73953361522247 2008 0.931812355180312
"LAME4.SA" 1.553 0.0506979748752886 0.6417631538798 2008 0.996658177975329
"LAME4.SA" 0.815999999999999 0.453913561602115 1.07327584246999 2008 0.875793087455511
"LAME4.SA" 1.217 0.339186991595367 0.821485627238781 2008 0.999748008349597
"LAME4.SA" 0.908999999999999 0.0555468704601459 1.13000105352 2008 1.02717095764968
"LAME4.SA" 1.062 0.448017257306033 0.87376404688724 2008 0.927937417794249
"LAME4.SA" 1.75 0.080436121889498 0.605307273313747 2008 1.05928772829906
"LAME4.SA" 1.214 0.287352849725827 0.783272230270066 2008 0.95089248754786
"LAME4.SA" 1.229 0.43208738759656 0.981652417651236 2008 1.20645082129337
"LAME4.SA" 1.192 0.207335374569782 0.811950599780541 2008 0.967845114938405
