"acao" "coeficiente_B" "sse" "volatilidade" "ano" "b_volatilidade"
"RENT3.SA" 1.679 0.220424518926577 0.548291847718072 2008 0.920582012318643
"RENT3.SA" 1.418 0.35963382523337 0.647490824050104 2008 0.918141988503048
"RENT3.SA" 1.967 0.146287905423792 0.484538716862297 2008 0.953087656068138
"RENT3.SA" 1.547 0.0530978676397267 0.57837659504993 2008 0.894748592542242
"RENT3.SA" 2.011 0.199360940382348 0.490945727400392 2008 0.987291857802188
"RENT3.SA" 2.077 0.0815382041546804 0.516755115033689 2008 1.07330037392497
"RENT3.SA" 1.99 0.0698815504900418 0.508202708772528 2008 1.01132339045733
"RENT3.SA" 1.671 0.066811571978485 0.551456765357518 2008 0.921484254912413
"RENT3.SA" 1.111 0.33214818762215 0.811351979276764 2008 0.901412048976485
"RENT3.SA" 1.894 0.0460036534365119 0.54288398818082 2008 1.02822227361447
"RENT3.SA" 2.398 0.163347967138284 0.40891655558229 2008 0.980581900286332
"RENT3.SA" 1.687 0.112628893025376 0.395141387851751 2008 0.666603521305904
"RENT3.SA" 1.145 0.208856249771551 0.839280645832984 2008 0.960976339478767
"RENT3.SA" 0.912999999999999 0.157186631191348 0.910227957479793 2008 0.83103812517905
"RENT3.SA" 1.151 0.221146274667547 0.837258447943375 2008 0.963684473582825
"RENT3.SA" 1.612 0.0537490097324387 0.630234762670532 2008 1.0159384374249
"RENT3.SA" 1.038 0.41932856783969 0.919972030133114 2008 0.954930967278172
"RENT3.SA" 1.039 0.0983898415082929 0.859629299883018 2008 0.893154842578456
"RENT3.SA" 1.105 0.351624995411321 0.89954653134747 2008 0.993998917138954
"RENT3.SA" 0.910999999999999 0.194534262283204 0.972762999832255 2008 0.886187092847183
"RENT3.SA" 1.196 0.0588763838667713 0.829531675234896 2008 0.992119883580936
"RENT3.SA" 1.01 0.215227820182903 0.884983277959201 2008 0.893833110738793
"RENT3.SA" 1.047 0.235446670758794 0.891668526994711 2008 0.933576947763462
"RENT3.SA" 1.071 0.439623765405097 0.840469535342302 2008 0.900142872351605
"RENT3.SA" 1.204 0.080190866621215 0.80194675713422 2008 0.965543895589601
"RENT3.SA" 1.178 0.308348206738435 0.799337597455817 2008 0.941619689802952
"RENT3.SA" 0.983999999999999 0.123427745011048 0.98946709978682 2008 0.97363562619023
"RENT3.SA" 1.529 0.0471573149244322 0.673656648419319 2008 1.03002101543314
"RENT3.SA" 1.311 0.139786350335059 0.77162461758711 2008 1.0115998736567
"RENT3.SA" 0.906999999999999 0.259629933113434 1.04912029809012 2008 0.951552110367738
"RENT3.SA" 1.293 0.0670832093466891 0.720534666721813 2008 0.931651324071304
"RENT3.SA" 1.407 0.0355967659364891 0.747640780333775 2008 1.05193057792962
"RENT3.SA" 0.746999999999999 0.694742277718026 1.15229694918027 2008 0.860765821037661
"RENT3.SA" 1.235 0.160651252432165 0.832761926305235 2008 1.02846097898697
"RENT3.SA" 0.832999999999999 0.209357852853351 1.09574558196175 2008 0.912756069774137
"RENT3.SA" 0.612 0.116308492399428 1.49865513866071 2008 0.917176944860355
"RENT3.SA" 1.17 0.25358590173733 0.854484480418198 2008 0.999746842089292
"RENT3.SA" 1.125 0.174035512354408 0.877160166223163 2008 0.986805187001058
"RENT3.SA" 0.479 0.115308307726065 1.66372443640938 2008 0.796924005040093
"RENT3.SA" 0.165999999999999 0.0678539452117844 3.96685872512014 2008 0.658498548369939
"RENT3.SA" 0.617 0.0674606094249193 1.44314365182732 2008 0.890419633177456
"RENT3.SA" 1.06 0.058150832030695 0.937138494301584 2008 0.993366803959679
"RENT3.SA" 0.782999999999999 0.24612984711617 1.29055304956286 2008 1.01050303780772
"RENT3.SA" 0.878999999999999 0.0591338590228596 1.03601401156268 2008 0.910656316163595
"RENT3.SA" 0.949999999999999 0.238949193508868 1.10777404090686 2008 1.05238533886152
"RENT3.SA" 1.679 0.220424518926577 0.548291847718072 2009 0.920582012318643
"RENT3.SA" 1.418 0.35963382523337 0.647490824050104 2009 0.918141988503048
"RENT3.SA" 1.967 0.146287905423792 0.484538716862297 2009 0.953087656068138
"RENT3.SA" 1.547 0.0530978676397267 0.57837659504993 2009 0.894748592542242
"RENT3.SA" 2.011 0.199360940382348 0.490945727400392 2009 0.987291857802188
"RENT3.SA" 2.077 0.0815382041546804 0.516755115033689 2009 1.07330037392497
"RENT3.SA" 1.99 0.0698815504900418 0.508202708772528 2009 1.01132339045733
"RENT3.SA" 1.671 0.066811571978485 0.551456765357518 2009 0.921484254912413
"RENT3.SA" 1.111 0.33214818762215 0.811351979276764 2009 0.901412048976485
"RENT3.SA" 1.894 0.0460036534365119 0.54288398818082 2009 1.02822227361447
"RENT3.SA" 2.398 0.163347967138284 0.40891655558229 2009 0.980581900286332
"RENT3.SA" 1.687 0.112628893025376 0.395141387851751 2009 0.666603521305904
"RENT3.SA" 1.145 0.208856249771551 0.839280645832984 2009 0.960976339478767
"RENT3.SA" 0.912999999999999 0.157186631191348 0.910227957479793 2009 0.83103812517905
"RENT3.SA" 1.151 0.221146274667547 0.837258447943375 2009 0.963684473582825
"RENT3.SA" 1.612 0.0537490097324387 0.630234762670532 2009 1.0159384374249
"RENT3.SA" 1.038 0.41932856783969 0.919972030133114 2009 0.954930967278172
"RENT3.SA" 1.039 0.0983898415082929 0.859629299883018 2009 0.893154842578456
"RENT3.SA" 1.105 0.351624995411321 0.89954653134747 2009 0.993998917138954
"RENT3.SA" 0.910999999999999 0.194534262283204 0.972762999832255 2009 0.886187092847183
"RENT3.SA" 1.196 0.0588763838667713 0.829531675234896 2009 0.992119883580936
"RENT3.SA" 1.01 0.215227820182903 0.884983277959201 2009 0.893833110738793
"RENT3.SA" 1.047 0.235446670758794 0.891668526994711 2009 0.933576947763462
"RENT3.SA" 1.071 0.439623765405097 0.840469535342302 2009 0.900142872351605
"RENT3.SA" 1.204 0.080190866621215 0.80194675713422 2009 0.965543895589601
"RENT3.SA" 1.178 0.308348206738435 0.799337597455817 2009 0.941619689802952
"RENT3.SA" 0.983999999999999 0.123427745011048 0.98946709978682 2009 0.97363562619023
"RENT3.SA" 1.529 0.0471573149244322 0.673656648419319 2009 1.03002101543314
"RENT3.SA" 1.311 0.139786350335059 0.77162461758711 2009 1.0115998736567
"RENT3.SA" 0.906999999999999 0.259629933113434 1.04912029809012 2009 0.951552110367738
"RENT3.SA" 1.293 0.0670832093466891 0.720534666721813 2009 0.931651324071304
"RENT3.SA" 1.407 0.0355967659364891 0.747640780333775 2009 1.05193057792962
"RENT3.SA" 0.746999999999999 0.694742277718026 1.15229694918027 2009 0.860765821037661
"RENT3.SA" 1.235 0.160651252432165 0.832761926305235 2009 1.02846097898697
"RENT3.SA" 0.832999999999999 0.209357852853351 1.09574558196175 2009 0.912756069774137
"RENT3.SA" 0.612 0.116308492399428 1.49865513866071 2009 0.917176944860355
"RENT3.SA" 1.17 0.25358590173733 0.854484480418198 2009 0.999746842089292
"RENT3.SA" 1.125 0.174035512354408 0.877160166223163 2009 0.986805187001058
"RENT3.SA" 0.479 0.115308307726065 1.66372443640938 2009 0.796924005040093
"RENT3.SA" 0.165999999999999 0.0678539452117844 3.96685872512014 2009 0.658498548369939
"RENT3.SA" 0.617 0.0674606094249193 1.44314365182732 2009 0.890419633177456
"RENT3.SA" 1.06 0.058150832030695 0.937138494301584 2009 0.993366803959679
