"acao" "coeficiente_B" "sse" "volatilidade" "ano" "b_volatilidade"
"GOAU4.SA" 1.693 0.155357682726127 0.52981309022799 2008 0.896973561755987
"GOAU4.SA" 1.841 0.0441903413637759 0.523847214430176 2008 0.964402721765954
"GOAU4.SA" 1.666 0.311952339449419 0.585142682655935 2008 0.974847709304788
"GOAU4.SA" 1.873 0.150334473168398 0.514920488763507 2008 0.964446075454049
"GOAU4.SA" 2.004 0.0900148655902016 0.423664084414651 2008 0.849022825166961
"GOAU4.SA" 1.931 0.199541635666473 0.531657133069395 2008 1.026629923957
"GOAU4.SA" 2.096 0.155952602202909 0.453420520141139 2008 0.950369410215827
"GOAU4.SA" 1.517 0.0900712649408746 0.667861684837691 2008 1.01314617589878
"GOAU4.SA" 1.464 0.0790088265377546 0.681916823364343 2008 0.998326229405398
"GOAU4.SA" 1.549 0.0893181116458876 0.577600492901362 2008 0.89470316350421
"GOAU4.SA" 1.676 0.107655477560855 0.677089994394055 2008 1.13480283060444
"GOAU4.SA" 1.779 0.0933512828632408 0.566306450999352 2008 1.00745917632785
"GOAU4.SA" 1.3 0.194147077552457 0.77089576504496 2008 1.00216449455845
"GOAU4.SA" 1.509 0.138281130961736 0.697958946883433 2008 1.0532200508471
"GOAU4.SA" 1.451 0.0517267219599943 0.708549237260128 2008 1.02810494326445
"GOAU4.SA" 1.443 0.393579724984662 0.667499917093463 2008 0.963202380365867
"GOAU4.SA" 1.566 0.109772386999999 0.667385864418656 2008 1.04512626367962
"GOAU4.SA" 1.472 0.0699089409557511 0.637212248738446 2008 0.937976430142992
"GOAU4.SA" 1.687 0.368575708477031 0.615527180233635 2008 1.03839435305414
"GOAU4.SA" 1.829 0.130544880828347 0.563593805578504 2008 1.03081307040308
"GOAU4.SA" 1.353 0.167674134674196 0.69549549803645 2008 0.941005408843317
"GOAU4.SA" 1.614 0.17487349281896 0.593087270259651 2008 0.957242854199077
"GOAU4.SA" 1.252 0.520476537682185 0.761588700577331 2008 0.953509053122818
"GOAU4.SA" 1.747 0.14310245981759 0.545939833666181 2008 0.953756889414818
"GOAU4.SA" 1.878 0.0861532631555103 0.545511656410371 2008 1.02447089073868
"GOAU4.SA" 1.412 0.521853042567791 0.678526148492013 2008 0.958078921670722
"GOAU4.SA" 1.141 0.245979028714325 0.835900012783797 2008 0.953761914586312
"GOAU4.SA" 1.364 0.563199876514 0.694766057649059 2008 0.947660902633316
"GOAU4.SA" 1.747 0.0602935476019582 0.584958444748794 2008 1.02192240297614
"GOAU4.SA" 1.596 0.116849203085457 0.610551652738856 2008 0.974440437771214
"GOAU4.SA" 1.478 0.104594397677243 0.676810469755608 2008 1.00032587429879
"GOAU4.SA" 1.125 0.112021923558401 0.849568240334564 2008 0.955764270376385
"GOAU4.SA" 1.53 0.1798501977298 0.58037050086363 2008 0.887966866321354
"GOAU4.SA" 1.373 0.175639100869147 0.712230707428783 2008 0.977892761299719
"GOAU4.SA" 1.127 0.128713764831475 0.868925285050331 2008 0.979278796251723
"GOAU4.SA" 0.815999999999999 0.34903325849951 1.16185075879466 2008 0.948070219176441
"GOAU4.SA" 0.824999999999999 0.186538113368462 1.12106966101619 2008 0.924882470338356
"GOAU4.SA" 0.812999999999999 0.149618553647786 1.1429573906799 2008 0.929224358622757
"GOAU4.SA" 0.684 0.0847137589103027 1.39523945028843 2008 0.954343783997286
"GOAU4.SA" 0.335 0.0615482868470583 2.45758148700828 2008 0.823289798147774
"GOAU4.SA" 0.601 0.0890116935274453 1.45524335222493 2008 0.874601254687183
"GOAU4.SA" 0.735999999999999 0.116522288806587 1.97780833730403 2008 1.45566693625576
"GOAU4.SA" 1.173 0.153061900479504 0.865658249228634 2008 1.01541712634519
"GOAU4.SA" 1.467 0.140263402488187 0.69219828777066 2008 1.01545488815956
"GOAU4.SA" 1.273 0.168673785711435 0.819653006227822 2008 1.04341827692802
"GOAU4.SA" 1.693 0.155357682726127 0.52981309022799 2009 0.896973561755987
"GOAU4.SA" 1.841 0.0441903413637759 0.523847214430176 2009 0.964402721765954
"GOAU4.SA" 1.666 0.311952339449419 0.585142682655935 2009 0.974847709304788
"GOAU4.SA" 1.873 0.150334473168398 0.514920488763507 2009 0.964446075454049
"GOAU4.SA" 2.004 0.0900148655902016 0.423664084414651 2009 0.849022825166961
"GOAU4.SA" 1.931 0.199541635666473 0.531657133069395 2009 1.026629923957
"GOAU4.SA" 2.096 0.155952602202909 0.453420520141139 2009 0.950369410215827
"GOAU4.SA" 1.517 0.0900712649408746 0.667861684837691 2009 1.01314617589878
"GOAU4.SA" 1.464 0.0790088265377546 0.681916823364343 2009 0.998326229405398
"GOAU4.SA" 1.549 0.0893181116458876 0.577600492901362 2009 0.89470316350421
"GOAU4.SA" 1.676 0.107655477560855 0.677089994394055 2009 1.13480283060444
"GOAU4.SA" 1.779 0.0933512828632408 0.566306450999352 2009 1.00745917632785
"GOAU4.SA" 1.3 0.194147077552457 0.77089576504496 2009 1.00216449455845
"GOAU4.SA" 1.509 0.138281130961736 0.697958946883433 2009 1.0532200508471
"GOAU4.SA" 1.451 0.0517267219599943 0.708549237260128 2009 1.02810494326445
"GOAU4.SA" 1.443 0.393579724984662 0.667499917093463 2009 0.963202380365867
"GOAU4.SA" 1.566 0.109772386999999 0.667385864418656 2009 1.04512626367962
"GOAU4.SA" 1.472 0.0699089409557511 0.637212248738446 2009 0.937976430142992
"GOAU4.SA" 1.687 0.368575708477031 0.615527180233635 2009 1.03839435305414
"GOAU4.SA" 1.829 0.130544880828347 0.563593805578504 2009 1.03081307040308
"GOAU4.SA" 1.353 0.167674134674196 0.69549549803645 2009 0.941005408843317
"GOAU4.SA" 1.614 0.17487349281896 0.593087270259651 2009 0.957242854199077
"GOAU4.SA" 1.252 0.520476537682185 0.761588700577331 2009 0.953509053122818
"GOAU4.SA" 1.747 0.14310245981759 0.545939833666181 2009 0.953756889414818
"GOAU4.SA" 1.878 0.0861532631555103 0.545511656410371 2009 1.02447089073868
"GOAU4.SA" 1.412 0.521853042567791 0.678526148492013 2009 0.958078921670722
"GOAU4.SA" 1.141 0.245979028714325 0.835900012783797 2009 0.953761914586312
"GOAU4.SA" 1.364 0.563199876514 0.694766057649059 2009 0.947660902633316
"GOAU4.SA" 1.747 0.0602935476019582 0.584958444748794 2009 1.02192240297614
"GOAU4.SA" 1.596 0.116849203085457 0.610551652738856 2009 0.974440437771214
"GOAU4.SA" 1.478 0.104594397677243 0.676810469755608 2009 1.00032587429879
"GOAU4.SA" 1.125 0.112021923558401 0.849568240334564 2009 0.955764270376385
"GOAU4.SA" 1.53 0.1798501977298 0.58037050086363 2009 0.887966866321354
"GOAU4.SA" 1.373 0.175639100869147 0.712230707428783 2009 0.977892761299719
"GOAU4.SA" 1.127 0.128713764831475 0.868925285050331 2009 0.979278796251723
"GOAU4.SA" 0.815999999999999 0.34903325849951 1.16185075879466 2009 0.948070219176441
"GOAU4.SA" 0.824999999999999 0.186538113368462 1.12106966101619 2009 0.924882470338356
"GOAU4.SA" 0.812999999999999 0.149618553647786 1.1429573906799 2009 0.929224358622757
"GOAU4.SA" 0.684 0.0847137589103027 1.39523945028843 2009 0.954343783997286
"GOAU4.SA" 0.335 0.0615482868470583 2.45758148700828 2009 0.823289798147774
"GOAU4.SA" 0.601 0.0890116935274453 1.45524335222493 2009 0.874601254687183
"GOAU4.SA" 0.735999999999999 0.116522288806587 1.97780833730403 2009 1.45566693625576
"GOAU4.SA" 1.173 0.153061900479504 0.865658249228634 2009 1.01541712634519
"GOAU4.SA" 1.467 0.140263402488187 0.69219828777066 2009 1.01545488815956
"GOAU4.SA" 1.273 0.168673785711435 0.819653006227822 2009 1.04341827692802
"GOAU4.SA" 1.693 0.155357682726127 0.52981309022799 2010 0.896973561755987
"GOAU4.SA" 1.841 0.0441903413637759 0.523847214430176 2010 0.964402721765954
"GOAU4.SA" 1.666 0.311952339449419 0.585142682655935 2010 0.974847709304788
"GOAU4.SA" 1.873 0.150334473168398 0.514920488763507 2010 0.964446075454049
"GOAU4.SA" 2.004 0.0900148655902016 0.423664084414651 2010 0.849022825166961
"GOAU4.SA" 1.931 0.199541635666473 0.531657133069395 2010 1.026629923957
"GOAU4.SA" 2.096 0.155952602202909 0.453420520141139 2010 0.950369410215827
"GOAU4.SA" 1.517 0.0900712649408746 0.667861684837691 2010 1.01314617589878
"GOAU4.SA" 1.464 0.0790088265377546 0.681916823364343 2010 0.998326229405398
"GOAU4.SA" 1.549 0.0893181116458876 0.577600492901362 2010 0.89470316350421
"GOAU4.SA" 1.676 0.107655477560855 0.677089994394055 2010 1.13480283060444
"GOAU4.SA" 1.779 0.0933512828632408 0.566306450999352 2010 1.00745917632785
"GOAU4.SA" 1.3 0.194147077552457 0.77089576504496 2010 1.00216449455845
"GOAU4.SA" 1.509 0.138281130961736 0.697958946883433 2010 1.0532200508471
"GOAU4.SA" 1.451 0.0517267219599943 0.708549237260128 2010 1.02810494326445
"GOAU4.SA" 1.443 0.393579724984662 0.667499917093463 2010 0.963202380365867
"GOAU4.SA" 1.566 0.109772386999999 0.667385864418656 2010 1.04512626367962
"GOAU4.SA" 1.472 0.0699089409557511 0.637212248738446 2010 0.937976430142992
"GOAU4.SA" 1.687 0.368575708477031 0.615527180233635 2010 1.03839435305414
"GOAU4.SA" 1.829 0.130544880828347 0.563593805578504 2010 1.03081307040308
"GOAU4.SA" 1.353 0.167674134674196 0.69549549803645 2010 0.941005408843317
"GOAU4.SA" 1.614 0.17487349281896 0.593087270259651 2010 0.957242854199077
"GOAU4.SA" 1.252 0.520476537682185 0.761588700577331 2010 0.953509053122818
"GOAU4.SA" 1.747 0.14310245981759 0.545939833666181 2010 0.953756889414818
"GOAU4.SA" 1.878 0.0861532631555103 0.545511656410371 2010 1.02447089073868
"GOAU4.SA" 1.412 0.521853042567791 0.678526148492013 2010 0.958078921670722
"GOAU4.SA" 1.141 0.245979028714325 0.835900012783797 2010 0.953761914586312
"GOAU4.SA" 1.364 0.563199876514 0.694766057649059 2010 0.947660902633316
"GOAU4.SA" 1.747 0.0602935476019582 0.584958444748794 2010 1.02192240297614
"GOAU4.SA" 1.596 0.116849203085457 0.610551652738856 2010 0.974440437771214
"GOAU4.SA" 1.478 0.104594397677243 0.676810469755608 2010 1.00032587429879
"GOAU4.SA" 1.125 0.112021923558401 0.849568240334564 2010 0.955764270376385
"GOAU4.SA" 1.53 0.1798501977298 0.58037050086363 2010 0.887966866321354
"GOAU4.SA" 1.373 0.175639100869147 0.712230707428783 2010 0.977892761299719
"GOAU4.SA" 1.127 0.128713764831475 0.868925285050331 2010 0.979278796251723
"GOAU4.SA" 0.815999999999999 0.34903325849951 1.16185075879466 2010 0.948070219176441
"GOAU4.SA" 0.824999999999999 0.186538113368462 1.12106966101619 2010 0.924882470338356
"GOAU4.SA" 0.812999999999999 0.149618553647786 1.1429573906799 2010 0.929224358622757
"GOAU4.SA" 0.684 0.0847137589103027 1.39523945028843 2010 0.954343783997286
"GOAU4.SA" 0.335 0.0615482868470583 2.45758148700828 2010 0.823289798147774
"GOAU4.SA" 0.601 0.0890116935274453 1.45524335222493 2010 0.874601254687183
"GOAU4.SA" 0.735999999999999 0.116522288806587 1.97780833730403 2010 1.45566693625576
"GOAU4.SA" 1.173 0.153061900479504 0.865658249228634 2010 1.01541712634519
"GOAU4.SA" 1.467 0.140263402488187 0.69219828777066 2010 1.01545488815956
"GOAU4.SA" 1.273 0.168673785711435 0.819653006227822 2010 1.04341827692802
"GOAU4.SA" 1.693 0.155357682726127 0.52981309022799 2011 0.896973561755987
"GOAU4.SA" 1.841 0.0441903413637759 0.523847214430176 2011 0.964402721765954
"GOAU4.SA" 1.666 0.311952339449419 0.585142682655935 2011 0.974847709304788
"GOAU4.SA" 1.873 0.150334473168398 0.514920488763507 2011 0.964446075454049
"GOAU4.SA" 2.004 0.0900148655902016 0.423664084414651 2011 0.849022825166961
"GOAU4.SA" 1.931 0.199541635666473 0.531657133069395 2011 1.026629923957
"GOAU4.SA" 2.096 0.155952602202909 0.453420520141139 2011 0.950369410215827
"GOAU4.SA" 1.517 0.0900712649408746 0.667861684837691 2011 1.01314617589878
"GOAU4.SA" 1.464 0.0790088265377546 0.681916823364343 2011 0.998326229405398
"GOAU4.SA" 1.549 0.0893181116458876 0.577600492901362 2011 0.89470316350421
"GOAU4.SA" 1.676 0.107655477560855 0.677089994394055 2011 1.13480283060444
"GOAU4.SA" 1.779 0.0933512828632408 0.566306450999352 2011 1.00745917632785
"GOAU4.SA" 1.3 0.194147077552457 0.77089576504496 2011 1.00216449455845
"GOAU4.SA" 1.509 0.138281130961736 0.697958946883433 2011 1.0532200508471
"GOAU4.SA" 1.451 0.0517267219599943 0.708549237260128 2011 1.02810494326445
"GOAU4.SA" 1.443 0.393579724984662 0.667499917093463 2011 0.963202380365867
"GOAU4.SA" 1.566 0.109772386999999 0.667385864418656 2011 1.04512626367962
"GOAU4.SA" 1.472 0.0699089409557511 0.637212248738446 2011 0.937976430142992
"GOAU4.SA" 1.687 0.368575708477031 0.615527180233635 2011 1.03839435305414
"GOAU4.SA" 1.829 0.130544880828347 0.563593805578504 2011 1.03081307040308
"GOAU4.SA" 1.353 0.167674134674196 0.69549549803645 2011 0.941005408843317
"GOAU4.SA" 1.614 0.17487349281896 0.593087270259651 2011 0.957242854199077
"GOAU4.SA" 1.252 0.520476537682185 0.761588700577331 2011 0.953509053122818
"GOAU4.SA" 1.747 0.14310245981759 0.545939833666181 2011 0.953756889414818
"GOAU4.SA" 1.878 0.0861532631555103 0.545511656410371 2011 1.02447089073868
"GOAU4.SA" 1.412 0.521853042567791 0.678526148492013 2011 0.958078921670722
"GOAU4.SA" 1.141 0.245979028714325 0.835900012783797 2011 0.953761914586312
"GOAU4.SA" 1.364 0.563199876514 0.694766057649059 2011 0.947660902633316
"GOAU4.SA" 1.747 0.0602935476019582 0.584958444748794 2011 1.02192240297614
"GOAU4.SA" 1.596 0.116849203085457 0.610551652738856 2011 0.974440437771214
"GOAU4.SA" 1.478 0.104594397677243 0.676810469755608 2011 1.00032587429879
"GOAU4.SA" 1.125 0.112021923558401 0.849568240334564 2011 0.955764270376385
"GOAU4.SA" 1.53 0.1798501977298 0.58037050086363 2011 0.887966866321354
"GOAU4.SA" 1.373 0.175639100869147 0.712230707428783 2011 0.977892761299719
"GOAU4.SA" 1.127 0.128713764831475 0.868925285050331 2011 0.979278796251723
"GOAU4.SA" 0.815999999999999 0.34903325849951 1.16185075879466 2011 0.948070219176441
"GOAU4.SA" 0.824999999999999 0.186538113368462 1.12106966101619 2011 0.924882470338356
"GOAU4.SA" 0.812999999999999 0.149618553647786 1.1429573906799 2011 0.929224358622757
"GOAU4.SA" 0.684 0.0847137589103027 1.39523945028843 2011 0.954343783997286
"GOAU4.SA" 0.335 0.0615482868470583 2.45758148700828 2011 0.823289798147774
"GOAU4.SA" 0.601 0.0890116935274453 1.45524335222493 2011 0.874601254687183
"GOAU4.SA" 0.735999999999999 0.116522288806587 1.97780833730403 2011 1.45566693625576
"GOAU4.SA" 1.173 0.153061900479504 0.865658249228634 2011 1.01541712634519
"GOAU4.SA" 1.467 0.140263402488187 0.69219828777066 2011 1.01545488815956
"GOAU4.SA" 1.273 0.168673785711435 0.819653006227822 2011 1.04341827692802
"GOAU4.SA" 1.693 0.155357682726127 0.52981309022799 2012 0.896973561755987
"GOAU4.SA" 1.841 0.0441903413637759 0.523847214430176 2012 0.964402721765954
"GOAU4.SA" 1.666 0.311952339449419 0.585142682655935 2012 0.974847709304788
"GOAU4.SA" 1.873 0.150334473168398 0.514920488763507 2012 0.964446075454049
"GOAU4.SA" 2.004 0.0900148655902016 0.423664084414651 2012 0.849022825166961
"GOAU4.SA" 1.931 0.199541635666473 0.531657133069395 2012 1.026629923957
"GOAU4.SA" 2.096 0.155952602202909 0.453420520141139 2012 0.950369410215827
"GOAU4.SA" 1.517 0.0900712649408746 0.667861684837691 2012 1.01314617589878
"GOAU4.SA" 1.464 0.0790088265377546 0.681916823364343 2012 0.998326229405398
"GOAU4.SA" 1.549 0.0893181116458876 0.577600492901362 2012 0.89470316350421
"GOAU4.SA" 1.676 0.107655477560855 0.677089994394055 2012 1.13480283060444
"GOAU4.SA" 1.779 0.0933512828632408 0.566306450999352 2012 1.00745917632785
