"setores" "faixa_temporal_por_setores" "coeficiente_B" "sse" "volatilidade" "tamanho_serie" "b_volatilidade"
"Bens Indls / Mat Transporte" "2008" 0.685 0.41263441159777 1.28353678955173 50 0.879222700842935
"Bens Indls / Mat Transporte" "2008" 0.684 0.226874694594023 1.36746740576251 50 0.935347705541557
"Bens Indls / Mat Transporte" "2008" 0.315 0.220918074987575 2.3795443959604 50 0.749556484727526
"Bens Indls / Mat Transporte" "2008" 0.782999999999999 0.211554668749359 1.20248565120221 50 0.941546264891329
"Bens Indls / Mat Transporte" "2008" 1.134 0.1194959035538 1.01071237681494 50 1.14614783530814
"Bens Indls / Mat Transporte" "2008" 0.911999999999999 0.187012653943444 1.2011842732289 50 1.09548005718476
"Bens Indls / Mat Transporte" "2008" 1.413 0.0610549898672935 0.721827006281494 41 1.01994155987575
"Bens Indls / Mat Transporte" "2008" 3.381 0.121614511029231 0.3267492287591 29 1.10473914243452
"Bens Indls / Mat Transporte" "2008" 1.726 0.0953495596961869 0.561016328064478 35 0.968314182239289
"Bens Indls / Mat Transporte" "2008" 1.386 0.209865492943286 0.666770219846416 35 0.924143524707133
"Bens Indls / Mat Transporte" "2008" 1.591 0.185584761915129 0.682188126256397 28 1.08536130887393
"Cons N Cíclico / Bebidas" "2008" 1.615 0.417828088388372 0.559843380405638 23 0.904147059355105
"Cons N Cíclico / Bebidas" "2008" 1.403 0.578234005892615 0.617880045351841 50 0.866885703628633
"Cons N Cíclico / Bebidas" "2008" 1.089 0.233417764514219 0.842728406819135 50 0.917731235026038
"Cons N Cíclico / Bebidas" "2008" 1.777 0.335130193786752 0.883037023292276 50 1.56915679039037
"Cons N Cíclico / Bebidas" "2008" 2.296 0.762941635843107 0.334568129040621 37 0.768168424277266
"Cons N Cíclico / Bebidas" "2008" 1.824 1.09824942647099 0.780296430192275 50 1.42326068867071
"Cons N Cíclico / Bebidas" "2008" 2.323 1.27909916952687 0.291099948654196 22 0.676225180723697
"Cons N Cíclico / Bebidas" "2008" 2.574 1.44885237013119 0.291295110009299 14 0.749793613163936
"Cons N Cíclico / Bebidas" "2008" 1.553 1.21572811990388 0.685023822799358 50 1.0638419968074
"Cons N Cíclico / Bebidas" "2008" 1.766 1.23623805981789 0.434500456261634 35 0.767327805758046
"Cons N Cíclico / Bebidas" "2008" 1.228 0.739406377272624 0.524745274280869 29 0.644387196816907
"Cons N Cíclico / Fumo" "2008" 0.866999999999999 0.543423753240787 1.01739868239618 50 0.882084657637487
"Cons N Cíclico / Fumo" "2008" 0.421 0.20039944498605 1.78478400675334 50 0.751394066843156
"Cons N Cíclico / Fumo" "2008" 0.44 0.527629648758313 1.77313293613594 50 0.780178491899814
"Cons N Cíclico / Fumo" "2008" 0.753999999999999 0.611276354139759 1.18096821797724 50 0.890450036354838
"Cons N Cíclico / Fumo" "2008" 1.14 0.236366898437631 0.988576743408605 50 1.12697748748581
"Cons N Cíclico / Fumo" "2008" 1.022 0.38215739107903 0.959750908954287 49 0.980865428951281
"Cons N Cíclico / Fumo" "2008" 1.172 0.51692080130143 0.725704000275898 37 0.850525088323352
"Cons N Cíclico / Fumo" "2008" 1.204 0.225437146046499 0.811111490642983 50 0.976578234734152
"Cons N Cíclico / Fumo" "2008" 1.638 0.465611167174446 0.56313152815789 35 0.922409443122624
"Cons N Cíclico / Fumo" "2008" 0.841999999999999 0.439810334302265 1.41861193616133 50 1.19447125024784
"Cons N Cíclico / Fumo" "2008" 0.943999999999999 0.632463981662149 0.81491009154013 39 0.769275126413882
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.979999999999999 0.288224818503619 1.02809252553662 45 1.00753067502589
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.413 0.234949757163245 1.79555031259573 50 0.741562279102036
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.441 0.380082799159262 1.73638105641524 50 0.765744045879121
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.432999999999999 0.115140154986789 1.93507828672576 50 0.837888898152252
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.805999999999999 0.332226534342504 1.14933459061477 50 0.926363680035504
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.689 0.228065951680029 1.32074641021561 50 0.909994276638555
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.801999999999999 0.440498909220485 1.15156625495025 50 0.923556136470099
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.735999999999999 0.272417376506779 1.33248508443201 50 0.980709022141958
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.855999999999999 0.303498783277566 1.12596631503644 50 0.963827165671192
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.777999999999999 0.426168760437715 1.19412300636466 50 0.929027698951704
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.716999999999999 0.207456904534189 1.39371108691308 50 0.999290849316677
"Consumo Cíclico / Comércio" "2008" 0.857999999999999 0.563012682772568 1.04571280219325 43 0.897221584281807
"Consumo Cíclico / Comércio" "2008" 0.741999999999999 0.396849533678934 1.27638873306535 50 0.947080439934488
"Consumo Cíclico / Comércio" "2008" 0.389 0.101565754802439 2.1006790526796 50 0.817164151492365
"Consumo Cíclico / Comércio" "2008" 0.462 0.127074461572555 1.95591584136067 50 0.90363311870863
"Consumo Cíclico / Comércio" "2008" 1.723 0.233955620338912 0.648066943467808 50 1.11661934359503
"Consumo Cíclico / Comércio" "2008" 1.042 0.555570956949652 0.857905292439426 35 0.893937314721882
