"setores" "faixa_temporal_por_setores" "coeficiente_B" "sse" "volatilidade" "tamanho_serie" "b_volatilidade"
"Bens Indls / Mat Transporte" "2008" 0.55 0.0510378443267605 1.52920398189097 50 0.841062190040034
"Bens Indls / Mat Transporte" "2008" 0.756999999999999 0.0501744884942892 1.36829466582575 50 1.03579906203009
"Bens Indls / Mat Transporte" "2008" 1.238 0.0542736594304768 0.845181933980307 50 1.04633523426762
"Bens Indls / Mat Transporte" "2008" 1.78 0.0680608444667678 0.545836888491849 35 0.971589661515491
"Cons N Cíclico / Bebidas" "2008" 1.372 0.286403928970984 0.67593566299134 50 0.927383729624119
"Cons N Cíclico / Bebidas" "2008" 1.625 0.305453439961361 0.619287130972465 50 1.00634158783026
"Cons N Cíclico / Bebidas" "2008" 1.977 0.89542270520606 0.483231212873013 50 0.955348107849947
"Cons N Cíclico / Bebidas" "2008" 1.61 0.896435413932922 0.509655094293692 50 0.820544701812844
"Cons N Cíclico / Fumo" "2008" 0.518 0.229993722495693 1.58240002882837 50 0.819683214933096
"Cons N Cíclico / Fumo" "2008" 0.790999999999999 0.296306977087635 1.11554420584015 50 0.882395466819557
"Cons N Cíclico / Fumo" "2008" 1.081 0.364843182931602 0.818639874505031 49 0.884949704339938
"Cons N Cíclico / Fumo" "2008" 1.085 0.163822365085853 0.972684071171924 50 1.05536221722154
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.55 0.146079120772865 1.48239225052115 50 0.815315737786633
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.544 0.168399125087473 1.5753824582341 50 0.85700805727935
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.739999999999999 0.17795239007887 1.20658036912878 50 0.892869473155296
"Cons N Cíclico / Pr Pessoal Limp" "2008" 0.719999999999999 0.208752732005457 1.2433744592708 50 0.895229610674975
"Consumo Cíclico / Comércio" "2008" 0.705 0.200617462834848 1.30198710114353 50 0.917900906306189
"Consumo Cíclico / Comércio" "2008" 0.675 0.144658902228657 1.50871824796315 50 1.01838481737513
"Consumo Cíclico / Comércio" "2008" 1.122 0.374328446581043 0.80129714863873 38 0.899055400772655
