"coeficiente_B","sse","volatilidade","incremento","tamanho_serie","b_volatilidade"
0.8,2.71622508022325,1.17868825468194,0.01,393,0.942950603745552
0.8,1.3633003395229,1.17868825468194,0.02,197,0.942950603745552
0.8,0.904638846893107,1.17868825468194,0.03,131,0.942950603745552
0.8,0.675364212419261,1.17868825468194,0.04,99,0.942950603745552
0.8,0.54753513620259,1.17868825468194,0.05,79,0.942950603745552
0.79,0.459889407559337,1.17868825468194,0.06,66,0.931163721198733
0.8,0.391942045939598,1.17868825468194,0.07,57,0.942950603745552
0.79,0.333914434172853,1.17868825468194,0.08,50,0.931163721198733
0.79,0.306076627026947,1.17868825468194,0.09,44,0.931163721198733
0.8,0.270990463838263,1.17868825468194,0.1,40,0.942950603745552
1.25,5.08927749472412,0.574383749297286,0.01,1012,0.717979686621607
1.25,2.54306300707825,0.574383749297286,0.02,506,0.717979686621607
1.25,1.6846972878802,0.574383749297286,0.03,338,0.717979686621607
1.25,1.2766210619161,0.574383749297286,0.04,253,0.717979686621607
1.25,0.980937906266267,0.574383749297286,0.05,203,0.717979686621607
1.24,0.855405916580665,0.574383749297286,0.06,169,0.712235849128635
1.24,0.744033425826737,0.574383749297286,0.07,145,0.712235849128635
1.24,0.638544128043202,0.574383749297286,0.08,127,0.712235849128635
1.25,0.547445815208703,0.574383749297286,0.09,113,0.717979686621607
1.25,0.484026962772853,0.574383749297286,0.1,102,0.717979686621607
0.87,1.42538999886414,1.06284454450715,0.01,673,0.92467475372122
0.87,0.710159504842619,1.06284454450715,0.02,337,0.92467475372122
0.87,0.473168550992082,1.06284454450715,0.03,225,0.92467475372122
0.87,0.359901831848051,1.06284454450715,0.04,169,0.92467475372122
0.87,0.288718799943365,1.06284454450715,0.05,135,0.92467475372122
0.87,0.238701667953826,1.06284454450715,0.06,113,0.92467475372122
0.87,0.204454705014082,1.06284454450715,0.07,97,0.92467475372122
0.87,0.176448002389184,1.06284454450715,0.08,85,0.92467475372122
0.87,0.164575230244183,1.06284454450715,0.09,75,0.92467475372122
0.87,0.140492193937276,1.06284454450715,0.1,68,0.92467475372122
0.72,1.25335120762633,1.33000024143704,0.01,567,0.957600173834669
0.72,0.627476889743198,1.33000024143704,0.02,284,0.957600173834669
0.72,0.416296889471959,1.33000024143704,0.03,189,0.957600173834669
0.72,0.31198618221315,1.33000024143704,0.04,142,0.957600173834669
0.72,0.251758995581566,1.33000024143704,0.05,114,0.957600173834669
0.72,0.214224200003752,1.33000024143704,0.06,95,0.957600173834669
0.72,0.182821602250626,1.33000024143704,0.07,81,0.957600173834669
0.72,0.159131211091354,1.33000024143704,0.08,71,0.957600173834669
0.72,0.139345575019228,1.33000024143704,0.09,63,0.957600173834669
0.72,0.130517900253582,1.33000024143704,0.1,57,0.957600173834669
0.77,2.06419361090646,1.228797421326,0.01,424,0.94617401442102
0.77,1.03549829107316,1.228797421326,0.02,212,0.94617401442102
0.77,0.69091501879943,1.228797421326,0.03,142,0.94617401442102
0.77,0.521176009628551,1.228797421326,0.04,106,0.94617401442102
0.77,0.413009877662172,1.228797421326,0.05,85,0.94617401442102
0.77,0.35026380864127,1.228797421326,0.06,71,0.94617401442102
0.77,0.289904777653529,1.228797421326,0.07,61,0.94617401442102
0.77,0.257767182575294,1.228797421326,0.08,53,0.94617401442102
