"volatilidade" "coeficiente_B" "cluster" "ano" "setor"
0.653683301653996 1.58 1 2008 "Utilidade Públ / Água Saneamento"
0.462611403707862 2.31 1 2008 "Utilidade Públ / Água Saneamento"
0.670915891076144 1.49 1 2008 "Utilidade Públ / Água Saneamento"
0.771651407671293 1.28 1 2009 "Bens Indls / Mat Transporte"
0.739248347976727 1.41 1 2009 "Bens Indls / Mat Transporte"
0.65835333403584 1.43 1 2009 "Bens Indls / Mat Transporte"
1.08154153019805 0.86 2 2009 "Bens Indls / Mat Transporte"
1.034569526564 0.88 2 2009 "Bens Indls / Mat Transporte"
1.67554227581399 0.45 2 2009 "Bens Indls / Mat Transporte"
1.76697298870618 0.44 2 2009 "Bens Indls / Mat Transporte"
1.12728702912714 0.84 2 2009 "Bens Indls / Mat Transporte"
0.917329748299986 1.3 1 2009 "Cons N Cíclico / Bebidas"
0.623002973744009 1.45 1 2009 "Cons N Cíclico / Bebidas"
0.379472852745808 2.16 1 2009 "Cons N Cíclico / Bebidas"
0.594549981913728 1.41 1 2009 "Cons N Cíclico / Bebidas"
0.487175924646851 1.76 1 2009 "Cons N Cíclico / Bebidas"
0.691033944693905 1.32 1 2009 "Cons N Cíclico / Bebidas"
0.757803962319878 1.12 1 2009 "Cons N Cíclico / Bebidas"
0.700973903903059 1.32 1 2009 "Cons N Cíclico / Bebidas"
0.928984178781909 1.07 1 2009 "Cons N Cíclico / Fumo"
0.904299880675767 1.06 1 2009 "Cons N Cíclico / Fumo"
0.509465194356295 1.89 1 2009 "Cons N Cíclico / Fumo"
1.04534157110966 1.13 1 2009 "Cons N Cíclico / Fumo"
0.745175815846637 1.21 1 2009 "Cons N Cíclico / Fumo"
0.718584255432249 1.24 1 2009 "Cons N Cíclico / Fumo"
1.16377388726831 0.93 2 2009 "Cons N Cíclico / Fumo"
0.782796082064955 1.15 1 2009 "Cons N Cíclico / Fumo"
1.0345789648614 0.96 2 2009 "Cons N Cíclico / Pr Pessoal Limp"
0.751039592787317 1.32 1 2009 "Cons N Cíclico / Pr Pessoal Limp"
0.62331442812607 1.49 1 2009 "Cons N Cíclico / Pr Pessoal Limp"
1.05570318682479 0.94 2 2009 "Cons N Cíclico / Pr Pessoal Limp"
1.14053552940825 0.83 2 2009 "Cons N Cíclico / Pr Pessoal Limp"
1.66826837661895 0.5 2 2009 "Cons N Cíclico / Pr Pessoal Limp"
1.24774340633032 0.76 2 2009 "Cons N Cíclico / Pr Pessoal Limp"
1.45639615344249 0.64 2 2009 "Cons N Cíclico / Pr Pessoal Limp"
1.05572388370807 0.94 2 2009 "Consumo Cíclico / Comércio"
1.09766822362435 0.95 2 2009 "Consumo Cíclico / Comércio"
0.785926793022904 1.22 1 2009 "Consumo Cíclico / Comércio"
0.890567158156267 1.1 1 2009 "Consumo Cíclico / Comércio"
1.0608956891196 0.93 2 2009 "Consumo Cíclico / Comércio"
1.476644200415 0.56 2 2009 "Consumo Cíclico / Comércio"
1.5486798670006 0.59 2 2009 "Consumo Cíclico / Comércio"
1.35896053816185 0.66 2 2009 "Consumo Cíclico / Comércio"
0.398168270912215 2.21 1 2009 "Consumo Cíclico / Tecid Vest Calç"
0.728076522925684 1.4 1 2009 "Consumo Cíclico / Tecid Vest Calç"
0.690152780143957 1.5 1 2009 "Consumo Cíclico / Tecid Vest Calç"
0.954620202082297 1.05 1 2009 "Consumo Cíclico / Tecid Vest Calç"
1.19652262297184 0.96 2 2009 "Consumo Cíclico / Tecid Vest Calç"
0.883389135253573 0.94 1 2009 "Consumo Cíclico / Tecid Vest Calç"
1.01890483473563 0.91 2 2009 "Consumo Cíclico / Tecid Vest Calç"
0.716582372860353 1.19 1 2009 "Consumo Cíclico / Tecid Vest Calç"
0.757198313947299 1.31 1 2009 "Mats Básicos / Mineração"
1.16379931346449 0.85 2 2009 "Mats Básicos / Mineração"
0.704683301970233 1.41 1 2009 "Mats Básicos / Mineração"
0.832084807908652 1.34 1 2009 "Mats Básicos / Mineração"
0.952813771767322 1.03 1 2009 "Mats Básicos / Mineração"
1.16959378155272 0.91 2 2009 "Mats Básicos / Mineração"
1.61597526755795 0.6 2 2009 "Mats Básicos / Mineração"
1.73747317749967 0.43 2 2009 "Mats Básicos / Mineração"
1.06436889893002 0.92 2 2009 "Mats Básicos / Químicos"
1.13151834450411 0.79 2 2009 "Mats Básicos / Químicos"
